RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,DelqEver,DelqLast12M,PercentSatisfactoryTrades,TradeFreq,NumTotalDelqTrades
Bad,73,147,4,66,20,0,0,100,122,7,7,20,2,50,36,0,0,74,76,5,4,1,100,FALSE,FALSE,100,135,0
Good,88,206,2,79,25,0,0,100,122,7,7,27,3,56,0,3,3,0,74,0,3,1,43,FALSE,FALSE,93,130,0
Bad,77,166,2,86,19,0,0,100,122,7,7,20,3,20,2,2,2,44,,5,2,0,70,FALSE,FALSE,95,120,0
Bad,65,121,9,48,20,1,1,95,14,2,6,21,1,25,0,0,0,49,42,6,3,0,75,TRUE,TRUE,95,172,2
Good,77,178,5,80,18,0,0,100,122,7,7,18,3,39,4,2,2,24,,4,1,0,71,FALSE,FALSE,100,101,0
Good,68,175,4,48,27,0,0,100,122,7,7,29,4,28,0,1,1,54,44,7,3,1,83,FALSE,FALSE,93,165,0
Bad,73,85,6,38,10,0,0,100,122,7,7,10,2,50,0,1,1,81,,1,1,0,50,FALSE,FALSE,100,116,0
Good,81,198,3,92,20,0,0,100,122,7,7,20,1,30,0,2,2,34,76,2,4,0,60,FALSE,FALSE,100,101,0
Bad,55,189,19,81,35,2,1,78,1,2,2,42,0,44,0,3,3,67,36,5,2,1,64,TRUE,TRUE,83,221,10
Bad,69,99,6,33,23,0,0,100,122,7,7,32,3,21,0,7,7,33,95,3,3,1,43,FALSE,FALSE,72,320,0
Good,77,158,23,104,20,0,0,100,122,7,7,22,0,32,0,1,1,72,,1,1,1,50,FALSE,FALSE,91,138,0
Bad,56,180,8,74,29,2,2,87,2,3,3,32,4,30,36,1,1,30,80,5,4,1,69,TRUE,TRUE,91,177,5
Good,83,281,2,59,13,0,0,100,122,7,7,14,6,43,1,2,2,2,80,1,4,0,56,FALSE,FALSE,93,50,0
Bad,59,134,17,83,8,2,0,42,1,6,5,12,0,67,0,3,3,77,,1,1,1,100,TRUE,TRUE,67,89,7
Bad,76,177,3,53,28,0,0,100,122,7,7,29,4,64,36,2,2,1,81,3,11,0,82,FALSE,FALSE,97,163,0
Bad,75,316,14,56,14,0,0,100,122,7,7,31,0,21,36,0,0,41,,2,1,2,43,FALSE,FALSE,45,98,0
Good,83,364,3,106,22,1,1,91,27,7,3,28,2,13,0,4,4,17,,4,1,0,63,TRUE,FALSE,79,77,3
Good,69,187,2,98,29,0,0,97,25,7,6,30,3,37,2,2,2,33,74,7,4,2,73,TRUE,FALSE,97,160,1
Bad,65,91,1,38,17,1,1,89,21,7,6,18,5,56,0,6,6,26,37,3,4,0,78,TRUE,FALSE,94,196,2
Good,83,181,5,53,25,0,0,100,122,7,7,26,2,4,36,1,1,18,,5,1,0,55,FALSE,FALSE,96,143,0
Bad,73,372,3,86,23,0,0,83,16,7,6,23,2,35,0,5,5,9,75,2,6,0,53,TRUE,FALSE,100,62,4
Good,86,307,24,131,14,0,0,100,122,7,7,15,0,0,0,0,0,10,,2,2,0,29,FALSE,FALSE,93,49,0
Bad,83,198,3,100,23,1,0,92,41,7,5,25,1,68,1,2,2,4,53,2,4,0,75,TRUE,FALSE,92,126,2
Good,70,196,4,64,34,0,0,100,122,7,7,35,1,37,0,0,0,83,,6,1,3,100,FALSE,FALSE,97,178,0
Bad,68,209,5,110,43,1,0,88,13,7,5,48,2,54,36,1,1,51,90,10,3,2,76,TRUE,FALSE,90,229,6
Bad,72,221,1,62,20,1,0,95,57,7,5,22,2,14,0,2,2,16,,4,1,0,43,TRUE,FALSE,91,99,2
Bad,56,247,6,76,16,4,0,67,4,5,5,21,2,62,0,2,2,64,82,6,10,2,100,TRUE,TRUE,76,85,7
Good,89,421,7,136,19,0,0,100,122,7,7,28,1,16,1,0,0,4,,3,2,0,30,FALSE,FALSE,68,66,0
Good,85,232,2,105,26,0,0,100,122,7,7,41,2,39,0,2,2,5,,3,3,1,46,FALSE,FALSE,63,176,0
Bad,68,378,8,140,10,3,1,77,15,7,4,13,1,54,36,0,0,0,70,0,3,1,60,TRUE,FALSE,77,34,3
Good,71,142,1,60,37,0,0,100,122,7,7,40,7,50,3,3,3,64,78,4,6,2,71,FALSE,FALSE,92,280,0
Good,86,442,2,106,20,0,0,100,122,7,7,21,1,33,0,0,0,5,47,2,1,1,43,FALSE,FALSE,95,47,0
Good,85,387,79,223,9,0,0,100,122,7,7,11,0,0,0,0,0,34,,3,2,0,60,FALSE,FALSE,82,28,0
Bad,75,293,9,143,9,0,0,89,11,6,6,9,2,22,0,0,0,59,78,3,1,1,57,TRUE,TRUE,100,31,1
Bad,59,128,19,64,3,2,0,20,3,5,5,5,0,80,0,0,0,0,90,0,2,1,67,TRUE,TRUE,60,39,4
Good,67,94,14,43,5,1,0,86,29,7,5,7,0,14,0,0,0,54,,4,2,2,80,TRUE,FALSE,71,74,1
Good,60,160,3,48,16,0,0,81,5,6,6,16,4,31,4,2,2,65,74,2,3,1,63,TRUE,TRUE,100,99,4
Good,68,375,8,65,25,0,0,100,122,7,7,35,2,48,1,1,1,71,63,3,4,2,78,FALSE,FALSE,71,93,0
Bad,68,216,4,91,23,1,1,88,52,7,2,26,6,54,36,2,2,42,90,6,2,1,80,TRUE,FALSE,88,120,4
Bad,68,178,3,85,21,0,0,100,122,7,7,22,3,43,2,7,7,66,3,3,3,1,100,FALSE,FALSE,95,123,0
Bad,77,291,3,116,14,0,0,100,122,7,7,14,1,36,0,6,6,45,69,6,3,2,75,FALSE,FALSE,100,48,0
Good,91,232,80,141,14,0,0,100,122,7,7,22,0,0,9,0,0,2,,2,2,0,33,FALSE,FALSE,64,94,0
Good,85,156,4,66,27,0,0,100,122,7,7,28,2,39,13,0,0,2,88,4,3,1,80,FALSE,FALSE,96,178,0
Bad,61,176,8,65,24,0,0,80,32,7,6,25,3,44,0,1,0,54,72,5,3,2,89,TRUE,FALSE,96,141,5
Good,75,201,2,65,31,0,0,97,44,7,6,46,6,30,12,0,0,30,76,4,3,1,36,TRUE,FALSE,67,228,2
Good,69,400,10,112,11,2,2,85,42,7,2,13,2,54,36,0,0,46,82,2,3,2,83,TRUE,FALSE,85,32,2
Good,74,165,3,68,28,0,0,97,17,7,6,30,4,33,0,1,1,58,86,4,4,1,67,TRUE,FALSE,93,181,1
Bad,64,242,18,124,16,2,0,47,2,6,5,19,0,74,0,4,4,27,,2,3,0,100,TRUE,TRUE,84,78,11
Good,82,374,4,100,26,0,0,100,122,7,7,27,3,22,3,2,2,28,94,3,4,2,50,FALSE,FALSE,96,72,0
Bad,52,132,13,62,21,1,1,86,5,6,2,22,0,32,0,1,1,41,90,10,2,1,80,TRUE,TRUE,95,165,4
Bad,57,118,16,54,2,7,7,20,10,6,2,10,0,40,0,4,4,40,33,1,3,0,83,TRUE,TRUE,20,84,8
Good,69,50,5,32,15,0,0,100,122,7,7,16,1,50,0,2,2,55,68,5,1,1,67,FALSE,FALSE,94,314,0
Good,75,426,5,109,23,0,0,96,55,7,6,23,1,17,11,0,0,32,,6,1,2,44,TRUE,FALSE,100,54,1
Good,91,364,1,118,12,0,0,100,122,7,7,13,1,8,0,1,1,0,,1,2,0,20,FALSE,FALSE,92,36,0
Bad,66,269,0,61,40,0,0,98,59,7,6,46,4,17,0,1,1,49,72,6,3,3,45,TRUE,FALSE,87,170,1
Good,83,213,1,98,14,0,0,93,17,7,6,15,1,27,1,2,2,0,68,0,2,0,50,TRUE,FALSE,93,70,2
Good,77,154,2,71,27,0,0,100,122,7,7,28,2,29,0,0,0,39,66,5,3,0,62,FALSE,FALSE,96,181,0
Good,91,303,4,101,11,0,0,100,122,7,7,12,1,36,1,0,0,1,97,2,2,0,57,FALSE,FALSE,92,39,0
Good,78,156,4,41,13,0,0,100,122,7,7,13,6,38,3,3,3,19,93,2,3,0,71,FALSE,FALSE,100,83,0
Good,72,141,6,73,22,0,0,100,122,7,7,22,2,18,4,1,1,59,,7,1,1,67,FALSE,FALSE,100,155,0
Bad,70,192,3,59,13,1,0,86,2,6,5,14,1,36,3,1,1,36,51,1,3,0,50,TRUE,TRUE,93,73,2
Bad,60,181,8,60,32,1,1,97,21,7,6,32,1,16,0,1,1,75,79,11,2,9,87,TRUE,FALSE,100,176,1
Bad,80,131,19,66,7,0,0,100,122,7,7,7,0,71,0,0,0,30,74,1,2,1,100,FALSE,FALSE,100,53,0
Bad,69,301,3,79,19,0,0,79,13,7,6,20,2,47,3,2,2,33,45,3,3,0,100,TRUE,FALSE,95,66,5
Bad,61,114,4,56,6,1,1,86,3,2,2,7,3,0,0,0,0,69,,4,2,1,100,TRUE,TRUE,86,61,1
Good,85,293,20,94,36,0,0,100,122,7,7,37,0,38,1,0,0,1,63,2,3,0,56,FALSE,FALSE,97,126,0
Bad,65,235,3,65,28,0,0,90,40,7,6,29,5,31,0,2,2,31,71,12,4,1,80,TRUE,FALSE,97,123,3
Bad,84,106,11,64,22,0,0,100,122,7,7,23,1,26,0,1,1,0,,0,2,0,0,FALSE,FALSE,96,215,0
Good,91,290,6,111,12,0,0,100,122,7,7,12,1,17,36,1,1,0,,1,2,0,13,FALSE,FALSE,100,41,0
Good,82,351,25,101,17,0,0,100,122,7,7,17,0,47,0,0,0,22,,4,2,0,86,FALSE,FALSE,100,48,0
Bad,58,216,12,86,23,0,0,88,3,6,6,53,0,29,1,1,1,84,,7,1,5,75,TRUE,TRUE,43,244,7
Bad,59,84,11,47,10,2,0,69,10,6,5,13,1,46,10,0,0,69,75,4,2,2,86,TRUE,TRUE,77,153,5
Good,82,178,4,73,18,0,0,95,62,7,6,20,3,40,36,4,4,4,44,3,2,0,63,TRUE,FALSE,90,112,1
Good,86,166,1,89,14,0,0,100,122,7,7,16,3,38,0,2,2,3,,4,2,0,75,FALSE,FALSE,88,96,0
Bad,75,169,2,51,10,0,0,100,122,7,7,13,3,77,0,2,2,19,78,1,4,0,100,FALSE,FALSE,77,76,0
Good,81,159,1,78,21,0,0,92,18,7,6,24,2,38,0,1,1,4,,2,2,0,50,TRUE,FALSE,88,150,2
Good,92,399,43,150,30,0,0,100,122,7,7,30,0,3,1,0,0,1,,4,1,0,33,FALSE,FALSE,100,75,0
Good,68,172,3,74,23,1,0,92,5,5,5,28,4,28,2,2,2,6,98,1,2,0,25,TRUE,TRUE,82,162,3
Good,85,133,2,68,43,0,0,100,122,7,7,47,6,34,0,0,0,2,86,2,3,0,31,FALSE,FALSE,91,351,0
Bad,63,170,11,75,14,1,1,87,8,4,4,15,1,13,0,2,2,56,,5,2,2,70,TRUE,TRUE,93,88,2
Good,80,324,18,110,27,0,0,100,122,7,7,52,0,26,14,0,0,38,73,4,2,2,86,FALSE,FALSE,52,160,0
Good,74,319,2,83,24,1,0,88,9,5,5,28,3,37,36,1,1,6,100,3,2,0,42,TRUE,TRUE,86,88,4
Bad,81,190,8,82,22,0,0,95,62,7,6,22,3,27,0,0,0,17,49,2,2,0,44,TRUE,FALSE,100,115,2
Bad,62,131,4,59,16,4,2,79,23,7,5,20,4,58,0,4,4,25,91,3,4,1,70,TRUE,FALSE,80,152,5
Bad,73,69,24,42,7,0,0,100,122,7,7,7,0,14,36,1,0,54,37,5,1,1,86,FALSE,FALSE,100,100,0
Good,78,169,17,71,34,0,0,100,122,7,7,34,0,35,0,0,0,34,48,2,4,1,55,FALSE,FALSE,100,200,0
Good,78,218,25,118,18,0,0,100,122,7,7,18,0,33,0,2,2,47,58,4,2,1,60,FALSE,FALSE,100,82,0
Bad,65,421,2,133,30,1,0,88,4,6,5,34,1,47,0,0,0,30,83,7,3,2,100,TRUE,TRUE,88,81,5
Good,80,161,17,82,9,0,0,100,122,7,7,10,0,70,6,0,0,30,,0,1,1,50,FALSE,FALSE,90,62,0
Good,81,147,11,90,9,1,0,90,42,7,5,10,1,10,1,2,2,0,,2,2,0,29,TRUE,FALSE,90,68,1
Bad,66,344,4,102,16,1,1,79,45,7,3,19,3,26,4,1,1,54,45,4,2,1,70,TRUE,FALSE,84,55,4
Bad,70,213,4,90,36,0,0,97,45,7,6,36,1,39,0,1,1,93,67,5,4,3,100,TRUE,FALSE,100,168,2
Bad,66,284,32,107,15,2,2,82,3,6,4,17,0,53,0,1,1,19,50,3,2,1,63,TRUE,TRUE,88,60,4
Bad,56,64,18,48,2,1,1,75,8,2,6,5,0,100,0,0,0,30,,3,1,1,100,TRUE,TRUE,40,77,2
Bad,75,248,1,103,14,0,0,88,3,6,6,16,1,13,0,1,1,2,,3,1,1,57,TRUE,TRUE,88,64,2
Bad,71,325,14,125,14,1,0,81,2,5,5,16,0,69,36,0,0,3,54,2,4,0,86,TRUE,TRUE,88,49,4
Bad,80,263,21,116,25,0,0,100,122,7,7,25,0,64,21,0,0,48,,3,2,0,71,FALSE,FALSE,100,95,0
Bad,55,321,3,102,7,3,0,64,2,6,5,11,1,27,1,0,0,87,100,3,2,2,100,TRUE,TRUE,64,34,4
Good,76,143,6,75,14,0,0,100,122,7,7,14,1,36,0,1,1,67,92,1,2,1,50,FALSE,FALSE,100,97,0
Good,81,243,1,89,41,0,0,100,122,7,7,44,9,27,0,7,6,1,39,7,4,0,50,FALSE,FALSE,93,180,0
Bad,72,168,8,62,10,0,0,100,122,7,7,11,1,18,0,5,5,60,82,7,1,0,100,FALSE,FALSE,91,65,0
Good,67,332,9,122,28,1,0,88,23,7,5,33,2,55,0,0,0,60,77,4,5,2,77,TRUE,FALSE,85,99,4
Good,88,414,18,117,28,0,0,100,122,7,7,28,0,18,0,0,0,1,92,1,2,0,60,FALSE,FALSE,100,67,0
Good,82,73,12,57,8,0,0,100,122,7,7,8,0,25,0,1,1,4,,2,1,1,60,FALSE,FALSE,100,108,0
Bad,62,174,2,84,35,0,0,89,38,7,6,38,3,32,0,1,1,68,,9,2,3,85,TRUE,FALSE,92,217,5
Bad,62,145,2,54,29,6,1,76,16,7,2,38,6,73,36,0,0,91,85,4,7,0,100,TRUE,FALSE,76,260,10
Good,90,396,7,121,23,0,0,100,122,7,7,23,1,22,7,0,0,1,,1,1,0,20,FALSE,FALSE,100,58,0
Good,87,140,16,79,16,0,0,100,122,7,7,17,0,18,0,0,0,3,,1,1,0,22,FALSE,FALSE,94,121,0
Bad,75,247,1,80,28,0,0,87,17,7,6,46,2,23,36,2,2,8,97,4,2,1,40,TRUE,FALSE,61,185,6
Bad,86,74,46,60,2,0,0,100,122,7,7,2,0,50,0,0,0,30,,0,2,1,0,FALSE,FALSE,100,27,0
Bad,77,120,5,53,25,0,0,100,122,7,7,26,4,23,0,1,1,19,79,6,2,0,67,FALSE,FALSE,96,215,0
Good,86,257,14,126,25,0,0,100,122,7,7,25,0,8,0,0,0,18,,5,1,0,40,FALSE,FALSE,100,97,0
Good,86,287,15,117,23,0,0,100,122,7,7,23,0,30,11,0,0,3,54,3,3,0,60,FALSE,FALSE,100,80,0
Good,80,378,21,163,20,0,0,100,122,7,7,21,0,29,17,0,0,45,63,8,2,1,83,FALSE,FALSE,95,55,0
Good,72,271,3,58,39,1,0,98,8,6,5,43,2,40,0,6,6,12,92,4,3,0,64,TRUE,TRUE,91,158,1
Good,84,93,4,37,7,0,0,100,122,7,7,7,4,29,36,3,3,16,,2,1,0,75,FALSE,FALSE,100,74,0
Bad,59,164,5,56,30,0,0,87,2,6,6,31,2,39,0,2,2,72,96,4,3,2,88,TRUE,TRUE,97,188,5
Bad,57,123,13,56,11,2,0,64,4,5,5,14,0,71,0,8,8,61,72,1,5,0,86,TRUE,TRUE,79,113,6
Bad,83,250,3,107,22,0,0,96,48,7,6,24,1,50,36,1,1,15,64,5,3,0,80,TRUE,FALSE,92,96,1
Bad,62,83,1,38,13,2,1,93,36,2,5,15,4,60,7,0,0,3,74,1,4,0,63,TRUE,TRUE,87,179,2
Good,66,265,4,78,50,1,0,88,11,5,5,51,5,12,2,4,4,24,56,7,2,3,39,TRUE,TRUE,98,192,7
Good,73,178,1,66,9,2,2,92,56,7,2,13,2,54,0,2,2,40,76,1,3,0,83,TRUE,FALSE,69,73,2
Good,67,103,1,39,23,1,0,96,1,5,5,26,5,32,4,2,2,7,64,3,3,0,43,TRUE,TRUE,88,250,2
Bad,68,207,6,69,20,1,1,90,8,6,2,21,2,33,0,0,0,75,85,5,3,2,80,TRUE,TRUE,95,101,3
Bad,65,102,3,39,38,1,1,92,6,6,4,39,9,46,0,13,13,20,86,4,14,1,72,TRUE,TRUE,97,379,4
Bad,72,169,30,73,6,0,0,86,62,7,6,7,0,57,0,0,0,78,81,1,2,1,75,TRUE,FALSE,86,41,1
Bad,71,179,4,68,32,1,1,97,50,7,3,33,5,21,1,5,5,43,45,12,4,3,76,TRUE,FALSE,97,183,1
Good,85,176,3,71,29,0,0,100,122,7,7,32,3,34,36,4,4,1,,2,1,0,50,FALSE,FALSE,91,181,0
Good,80,329,16,83,20,0,0,95,36,7,6,31,0,14,36,2,2,9,,3,1,1,40,TRUE,FALSE,65,94,2
Good,81,212,1,93,37,0,0,100,122,7,7,44,5,16,2,3,3,19,,4,2,1,35,FALSE,FALSE,84,207,0
Good,81,189,11,96,21,1,1,96,77,7,3,24,1,8,21,0,0,0,,0,1,0,33,TRUE,FALSE,88,126,1
Bad,61,388,8,80,11,0,0,82,21,7,6,11,2,36,0,1,1,71,,4,1,3,63,TRUE,FALSE,100,28,2
Bad,58,165,8,79,27,0,0,96,19,7,6,27,1,37,4,1,1,85,78,9,5,5,100,TRUE,FALSE,100,163,2
Bad,76,187,10,48,18,0,0,100,122,7,7,46,1,50,8,1,0,1,53,2,2,1,57,FALSE,FALSE,39,245,0
Bad,72,261,27,131,16,1,1,94,13,7,6,16,0,25,36,0,0,11,,1,1,0,29,TRUE,FALSE,100,61,1
Good,76,245,12,112,21,0,0,100,122,7,7,22,0,24,12,0,0,68,60,3,2,2,67,FALSE,FALSE,95,89,0
Bad,74,159,9,69,26,0,0,100,122,7,7,27,2,48,36,0,0,61,67,3,4,2,78,FALSE,FALSE,96,169,0
Good,79,251,25,99,23,0,0,91,11,6,6,24,0,17,20,0,0,6,8,3,2,0,31,TRUE,TRUE,96,95,3
Bad,68,178,5,73,31,0,0,97,25,7,6,31,2,35,0,4,4,26,82,5,3,1,67,TRUE,FALSE,100,173,1
Bad,77,187,8,44,14,0,0,93,56,7,6,28,2,21,1,1,1,5,,4,1,0,71,TRUE,FALSE,50,149,2
Bad,77,276,41,145,19,0,0,100,122,7,7,19,0,21,36,1,1,59,36,6,2,1,62,FALSE,FALSE,100,69,0
Good,79,290,2,132,31,0,0,100,122,7,7,33,1,27,0,1,1,42,,5,1,0,75,FALSE,FALSE,94,113,0
Good,89,245,184,215,2,0,0,100,122,7,7,37,0,0,22,0,0,3,,1,2,0,50,FALSE,FALSE,5,150,0
Bad,70,217,1,66,31,0,0,97,49,7,6,33,6,52,0,2,2,71,94,3,9,1,82,TRUE,FALSE,94,151,1
Bad,60,125,8,34,26,0,0,96,10,6,6,26,2,15,0,3,3,56,70,4,1,1,67,TRUE,TRUE,100,206,2
Good,78,175,17,88,39,0,0,100,122,7,7,40,0,70,5,1,1,33,74,3,2,1,83,FALSE,FALSE,98,227,0
Bad,73,217,22,87,34,0,0,100,122,7,7,36,0,17,0,1,1,91,,7,2,3,100,FALSE,FALSE,94,165,0
Good,73,409,7,94,38,0,0,100,122,7,7,39,2,18,0,1,1,27,69,11,2,2,72,FALSE,FALSE,97,95,0
Good,83,319,13,82,20,0,0,100,122,7,7,46,0,20,13,0,0,34,,4,1,0,42,FALSE,FALSE,43,144,0
Good,70,234,10,93,27,0,0,89,12,7,6,27,1,44,0,2,2,51,100,5,2,2,70,TRUE,FALSE,100,115,3
Bad,72,255,13,60,31,0,0,100,122,7,7,32,0,22,13,0,0,85,14,9,2,9,79,FALSE,FALSE,97,125,0
Good,62,247,11,93,29,2,2,90,37,2,6,29,1,24,16,0,0,67,,11,1,3,100,TRUE,TRUE,100,117,3
Good,89,172,19,87,22,0,0,100,122,7,7,49,0,23,18,0,0,14,,2,2,0,40,FALSE,FALSE,45,283,0
Bad,65,90,7,37,12,2,2,92,51,7,4,14,4,38,0,3,3,82,95,4,4,2,100,TRUE,FALSE,86,154,2
Good,80,331,13,164,15,0,0,100,122,7,7,15,0,33,0,0,0,34,72,4,2,0,75,FALSE,FALSE,100,45,0
Good,90,247,13,96,21,0,0,100,122,7,7,21,0,33,36,0,0,0,,0,1,0,25,FALSE,FALSE,100,85,0
Bad,72,216,5,100,25,1,1,85,8,4,4,26,1,31,5,0,0,33,,3,2,1,31,TRUE,TRUE,96,120,4
Bad,81,101,20,41,12,0,0,100,122,7,7,12,0,42,0,2,2,6,,1,4,0,83,FALSE,FALSE,100,118,0
Good,75,128,2,82,26,0,0,96,18,7,6,30,2,57,1,2,2,16,41,1,8,1,69,TRUE,FALSE,87,233,2
Bad,64,203,13,88,9,3,0,57,12,7,5,21,0,50,14,0,0,0,80,1,4,1,83,TRUE,FALSE,43,103,10
